Rank,Title,RatingTomatometer,No_of_Reviews,Genres
93,Before Midnight,98,189,drama
94,The Conformist,98,53,drama
95,Au Hasard Balthazar,100,40,drama
96,Things to Come,100,135,drama
97,The Red Shoes,96,55,drama
98,Schindler's List,97,93,drama
99,La Dolce Vita,97,58,drama
100,Sweet Smell of Success,98,48,drama
1,Get Out,98,339,horror
2,The Cabinet of Dr. Caligari,100,50,horror
3,A Quiet Place,95,330,horror
4,Psycho,97,89,horror
5,King Kong,98,56,horror
6,"Nosferatu, a Symphony of Horror",97,62,horror
7,Repulsion,100,60,horror
8,The Bride of Frankenstein,100,43,horror
9,The Babadook,98,227,horror
10,Rosemary's Baby,99,69,horror
11,Frankenstein,100,46,horror
12,Aliens,99,68,horror
13,It Follows,96,240,horror
14,Let the Right One In,98,183,horror
15,Night of the Living Dead,97,64,horror
16,Hereditary,89,317,horror
17,Eyes Without a Face,98,54,horror
18,Freaks,94,53,horror
19,The Witch,91,308,horror
20,The Silence of the Lambs,96,89,horror
21,Pan's Labyrinth,95,229,horror
22,Evil Dead 2: Dead by Dawn,98,56,horror
23,The Birds,96,52,horror
24,Halloween,95,65,horror
25,Gojira,93,70,horror
26,Don't Look Now,96,53,horror
27,The Vanishing,98,46,horror
